[Sun May  3 04:23:48 2026] ACTION: ARCHIVE_SUSPECT | DETAILS: Archived Suspect: REHMAN - Reason: Deceased
[Sun May  3 04:24:07 2026] ACTION: CLOSE_CASE | DETAILS: Closed Case: CR-2026-007 - Theft - afwan - Reason: Case Closed
[Sun May  3 04:24:18 2026] ACTION: SESSION_logout | DETAILS: admin (Admin) logout
[Sun May  3 04:24:18 2026] ACTION: LOGOUT | DETAILS: Admin logged out: admin
[Sun May  3 04:24:50 2026] ACTION: SESSION_login | DETAILS: afwan (User) login
[Sun May  3 04:24:50 2026] ACTION: LOGIN | DETAILS: User login: afwan
[Sun May  3 16:24:37 2026] ACTION: SESSION_login | DETAILS: admin (Admin) login
[Sun May  3 16:24:37 2026] ACTION: LOGIN | DETAILS: Admin login: admin
[Sun May  3 16:25:31 2026] ACTION: SESSION_logout | DETAILS: admin (Admin) logout
[Sun May  3 16:25:31 2026] ACTION: LOGOUT | DETAILS: Admin logged out: admin
[Sun May  3 16:26:23 2026] ACTION: SESSION_login | DETAILS: admin (Admin) login
[Sun May  3 16:26:23 2026] ACTION: LOGIN | DETAILS: Admin login: admin
[Sun May  3 16:29:27 2026] ACTION: SESSION_login | DETAILS: admin (Admin) login
[Sun May  3 16:29:27 2026] ACTION: LOGIN | DETAILS: Admin login: admin
[Sun May  3 16:34:16 2026] ACTION: ARCHIVE_SUSPECT | DETAILS: Archived Suspect: LISA YAMAMOTO - Reason: Deceased
